s_id,p_id,value,currency,stock,score
SHOP0486,P00538,416.41,TRY,33,1.8
SHOP0003,P00250,222.86,GBP,152,1.7
SHOP0284,P00790,421.21,TRY,194,4.5
SHOP0206,P00554,414.61,TRY,200,3.0
SHOP0366,P00424,98.17,TRY,493,0.8
SHOP0403,P00022,407.51,USD,346,2.6
SHOP0228,P00462,908.25,GBP,139,4.6
SHOP0270,P00889,666.03,GBP,157,1.0
SHOP0445,P00496,630.39,EUR,494,2.5
SHOP0403,P00725,988.41,EUR,87,0.1
SHOP0493,P00340,23.01,USD,350,1.5
SHOP0272,P00897,827.08,USD,368,3.2
SHOP0383,P00470,612.32,TRY,118,2.0
SHOP0436,P00568,210.42,EUR,470,3.9
SHOP0336,P00821,501.06,USD,207,0.9
SHOP0148,P00736,96.54,TRY,453,2.4
SHOP0421,P00175,826.6,GBP,151,0.2
SHOP0224,P00004,515.46,EUR,459,3.4
SHOP0059,P00536,55.83,EUR,475,1.6
SHOP0287,P00472,524.51,USD,193,0.9
SHOP0375,P00437,532.87,TRY,67,4.6
SHOP0390,P00896,323.51,TRY,145,2.7
SHOP0244,P00194,655.49,TRY,88,3.8
SHOP0033,P00260,389.96,TRY,388,2.2
SHOP0338,P00474,271.61,GBP,409,3.7
SHOP0074,P00165,852.92,GBP,218,1.5
SHOP0177,P00373,444.08,EUR,179,3.8
SHOP0185,P00253,414.13,USD,434,1.6
SHOP0218,P00889,370.87,GBP,173,0.6
SHOP0053,P00567,668.37,EUR,419,2.3
SHOP0410,P00891,878.46,EUR,219,4.0
SHOP0405,P00030,199.93,GBP,288,4.2
SHOP0160,P00428,457.25,GBP,155,1.2
SHOP0470,P00274,940.59,EUR,168,4.1
SHOP0159,P00553,261.65,USD,341,4.0
SHOP0169,P00665,154.74,GBP,478,2.6
SHOP0142,P00645,50.06,USD,302,4.5
SHOP0075,P00514,436.24,GBP,189,0.3
SHOP0028,P00406,858.26,EUR,0,1.5
SHOP0443,P00801,234.75,EUR,47,1.5
SHOP0112,P00014,605.97,USD,307,2.3
SHOP0117,P00267,925.33,USD,384,4.6
SHOP0197,P00776,785.39,EUR,271,1.9
SHOP0370,P00193,763.57,USD,7,1.3
SHOP0385,P00293,607.86,TRY,31,2.1
SHOP0461,P00632,607.36,TRY,216,3.1
SHOP0309,P00409,86.05,USD,350,2.9
SHOP0306,P00213,675.99,TRY,170,4.3
SHOP0291,P00189,853.67,TRY,163,4.1
SHOP0383,P00203,280.37,TRY,332,1.8
SHOP0424,P00486,24.88,TRY,44,1.6
SHOP0326,P00095,812.33,GBP,340,3.1
SHOP0270,P00909,261.64,TRY,55,2.9
SHOP0413,P00885,435.92,EUR,236,0.0
SHOP0478,P00049,623.4,EUR,15,1.1
SHOP0470,P00038,977.54,EUR,16,2.0
SHOP0317,P00696,776.19,USD,464,2.6
SHOP0149,P00863,59.17,EUR,298,1.2
SHOP0067,P00159,418.95,USD,273,4.9
SHOP0401,P00856,84.74,EUR,483,1.0
SHOP0135,P00140,320.1,USD,332,1.4
SHOP0333,P00806,979.97,GBP,45,3.2
SHOP0284,P00384,888.35,GBP,343,4.2
SHOP0385,P00511,589.91,TRY,6,3.0
SHOP0290,P00559,480.46,EUR,215,2.3
SHOP0026,P00206,687.52,GBP,323,4.3
SHOP0207,P00470,510.67,GBP,451,1.3
SHOP0447,P00059,321.8,USD,370,1.9
SHOP0330,P00230,716.46,USD,494,1.8
SHOP0386,P00438,672.63,USD,440,2.3
SHOP0330,P00407,72.52,GBP,367,3.6
SHOP0344,P00986,303.04,GBP,395,4.3
SHOP0381,P00559,191.36,EUR,390,1.8
SHOP0379,P00398,722.5,USD,299,2.3
SHOP0431,P00767,90.25,EUR,408,4.0
SHOP0251,P00890,757.48,EUR,418,2.4
SHOP0393,P00650,970.56,USD,43,4.8
SHOP0059,P00579,930.39,EUR,56,2.8
SHOP0355,P00114,77.03,USD,450,0.1
SHOP0392,P00444,138.34,GBP,365,4.0
SHOP0450,P00171,15.53,TRY,242,2.1
SHOP0236,P00613,638.48,TRY,474,0.8
SHOP0465,P00543,147.55,GBP,218,2.2
SHOP0031,P00085,455.92,TRY,486,3.6
SHOP0181,P00817,310.38,USD,433,4.9
SHOP0006,P00325,695.32,GBP,339,2.6
SHOP0101,P00551,964.88,TRY,3,4.7
SHOP0005,P00801,894.38,USD,286,1.9
SHOP0042,P00746,273.38,GBP,336,2.8
SHOP0345,P00049,563.1,EUR,76,4.7
SHOP0485,P00283,739.29,EUR,316,4.4
SHOP0157,P00580,924.11,TRY,389,1.9
SHOP0084,P00907,94.02,TRY,386,3.8
SHOP0112,P00096,286.08,TRY,348,0.2
SHOP0381,P00668,331.12,EUR,65,0.6
SHOP0255,P00594,209.83,USD,77,3.0
SHOP0131,P00714,908.83,USD,137,4.2
SHOP0073,P00198,971.37,USD,200,2.7
SHOP0291,P00071,618.82,TRY,211,2.0
SHOP0167,P00312,683.2,GBP,320,0.6
SHOP0381,P00068,392.9,GBP,141,3.4
SHOP0493,P00410,47.7,GBP,393,2.9
SHOP0135,P00322,911.91,GBP,146,3.4
SHOP0468,P00503,824.39,GBP,122,4.5
SHOP0456,P00250,670.43,TRY,372,2.8
SHOP0041,P00352,810.4,GBP,487,1.4
SHOP0415,P00974,983.39,USD,201,4.7
SHOP0036,P00615,132.21,EUR,17,2.8
SHOP0134,P00170,644.31,GBP,377,0.5
SHOP0449,P00354,157.94,TRY,434,4.7
SHOP0193,P00847,23.58,TRY,399,3.0
SHOP0279,P00381,454.47,USD,281,4.7
SHOP0427,P00919,444.13,EUR,50,5.0
SHOP0278,P00932,959.69,EUR,478,4.9
SHOP0124,P00045,574.3,EUR,386,3.3
SHOP0406,P00357,941.55,GBP,392,3.1
SHOP0041,P00577,98.22,GBP,320,2.9
SHOP0380,P00599,953.28,GBP,353,1.3
SHOP0407,P00926,653.49,EUR,415,3.1
SHOP0003,P00290,471.79,TRY,224,0.0
SHOP0404,P00760,958.24,TRY,129,4.0
SHOP0255,P00852,103.42,USD,486,2.4
SHOP0317,P00471,402.13,EUR,203,3.2
SHOP0450,P00874,277.21,USD,365,3.1
SHOP0255,P00343,628.55,TRY,180,3.2
SHOP0200,P00859,924.84,GBP,91,3.7
SHOP0181,P00872,899.37,USD,405,0.3
SHOP0299,P00762,419.72,TRY,315,1.7
SHOP0125,P00443,130.12,TRY,65,2.2
SHOP0477,P00057,970.57,EUR,276,1.4
SHOP0422,P00667,275.25,GBP,89,0.1
SHOP0264,P00535,673.45,USD,485,0.3
SHOP0095,P00801,702.07,TRY,469,3.2
SHOP0037,P00090,563.93,EUR,492,1.9
SHOP0283,P00705,615.49,EUR,497,4.4
SHOP0193,P00991,302.27,EUR,373,0.7
SHOP0402,P00277,920.08,EUR,472,2.9
SHOP0219,P00671,434.11,EUR,309,4.7
SHOP0011,P00623,259.91,TRY,472,1.6
SHOP0361,P00502,453.52,EUR,207,2.7
SHOP0342,P00235,848.31,GBP,256,3.1
SHOP0261,P00423,177.64,USD,47,3.8
SHOP0072,P00068,894.75,GBP,39,1.7
SHOP0201,P00452,240.5,GBP,487,4.2
SHOP0113,P00481,568.48,EUR,296,1.2
SHOP0177,P00391,903.72,GBP,16,4.7
SHOP0425,P00253,33.05,USD,303,3.6
SHOP0374,P00457,621.95,GBP,121,4.2
SHOP0467,P00964,983.26,USD,266,3.2
SHOP0004,P00447,376.32,GBP,39,3.4
SHOP0452,P00659,808.07,EUR,458,0.7
SHOP0472,P00206,969.27,GBP,279,4.2
SHOP0015,P00197,112.78,EUR,318,0.0
SHOP0150,P00566,857.45,EUR,107,0.9
SHOP0313,P00537,94.4,GBP,363,3.3
SHOP0144,P00822,263.54,EUR,429,0.4
SHOP0091,P00035,332.14,USD,29,4.1
SHOP0350,P00325,138.85,EUR,470,0.7
SHOP0451,P00836,903.66,TRY,435,2.1
SHOP0482,P00934,940.94,GBP,288,2.2
SHOP0455,P00713,901.97,TRY,32,3.7
SHOP0103,P00026,833.7,EUR,357,4.1
SHOP0470,P00670,668.02,GBP,255,2.3
SHOP0063,P00920,491.31,EUR,132,3.8
SHOP0353,P00886,893.61,EUR,136,1.7
SHOP0109,P00266,953.42,USD,492,2.5
SHOP0159,P00719,691.1,TRY,281,2.4
SHOP0069,P00741,701.35,EUR,319,1.2
SHOP0224,P00560,194.22,EUR,391,2.0
SHOP0020,P00928,543.03,EUR,38,4.6
SHOP0018,P00311,980.82,TRY,384,4.7
SHOP0426,P00582,523.99,TRY,240,5.0
SHOP0366,P00785,325.59,TRY,495,0.3
SHOP0376,P00494,695.88,EUR,227,0.5
SHOP0366,P00161,767.81,TRY,328,0.7
SHOP0255,P00341,744.78,TRY,485,2.5
SHOP0042,P00374,996.34,USD,224,4.4
SHOP0074,P00099,719.66,EUR,19,2.1
SHOP0406,P00221,31.49,TRY,142,1.1
SHOP0008,P00472,44.35,EUR,322,3.9
SHOP0061,P00615,530.75,TRY,417,0.1
SHOP0382,P00647,481.57,EUR,93,2.6
SHOP0086,P00723,513.84,TRY,175,3.0
SHOP0120,P00057,833.49,TRY,256,3.8
SHOP0362,P00459,89.39,GBP,373,3.6
SHOP0066,P00001,226.65,USD,211,2.6
SHOP0118,P00751,783.45,EUR,82,0.7
SHOP0463,P00304,232.65,EUR,373,3.2
SHOP0230,P00911,116.27,USD,29,3.7
SHOP0351,P00647,754.04,EUR,123,3.2
SHOP0098,P00940,381.81,EUR,252,3.6
SHOP0168,P00578,257.83,TRY,143,1.8
SHOP0263,P00341,966.22,TRY,39,2.6
SHOP0159,P00138,268.75,EUR,108,3.3
SHOP0472,P00363,590.01,GBP,410,4.7
SHOP0242,P00445,700.94,USD,101,2.9
SHOP0327,P00505,175.79,USD,482,4.6
SHOP0108,P00296,878.21,TRY,443,3.5
SHOP0453,P00706,935.3,EUR,406,1.1
SHOP0205,P00824,185.31,TRY,161,4.4
SHOP0296,P00660,28.41,EUR,203,2.9
SHOP0209,P00871,940.8,EUR,444,4.8
SHOP0006,P00214,685.82,GBP,79,0.8
SHOP0189,P00479,208.93,TRY,137,3.7
SHOP0168,P00605,230.35,TRY,497,1.5
SHOP0110,P00891,814.55,USD,203,4.5
SHOP0339,P00572,751.14,GBP,94,4.6
SHOP0295,P00625,799.62,TRY,316,2.2
SHOP0077,P00715,191.88,USD,42,1.8
SHOP0266,P00398,634.09,GBP,30,0.7
SHOP0383,P00980,310.8,EUR,277,4.4
SHOP0407,P00317,71.88,TRY,412,2.4
SHOP0487,P00592,68.08,GBP,155,1.2
SHOP0102,P00006,353.95,USD,391,2.7
SHOP0064,P00788,768.4,GBP,282,1.0
SHOP0362,P00327,11.04,EUR,413,4.9
SHOP0159,P00270,205.92,TRY,281,2.6
SHOP0186,P00310,197.13,TRY,95,4.1
SHOP0117,P00276,849.1,USD,426,2.5
SHOP0098,P00947,828.44,USD,358,0.1
SHOP0290,P00889,876.69,GBP,86,0.4
SHOP0175,P00908,839.41,TRY,37,4.4
SHOP0107,P00249,435.08,USD,424,2.2
SHOP0207,P00189,729.18,TRY,364,0.3
SHOP0099,P00720,815.34,EUR,358,3.8
SHOP0289,P00082,353.79,EUR,417,3.4
SHOP0167,P00184,969.47,TRY,344,4.9
SHOP0379,P00408,871.76,GBP,102,4.8
SHOP0406,P00960,769.03,EUR,137,0.0
SHOP0112,P00099,589.64,USD,249,0.0
SHOP0158,P00543,656.06,GBP,51,4.0
SHOP0221,P00314,441.92,EUR,210,3.8
SHOP0490,P00922,374.32,USD,372,2.4
SHOP0152,P00584,104.2,TRY,87,1.6
SHOP0237,P00974,866.76,EUR,193,3.4
SHOP0335,P00934,230.75,TRY,14,2.0
SHOP0309,P00927,627.96,GBP,338,4.8
SHOP0194,P00737,228.85,EUR,492,1.0
SHOP0218,P00864,816.36,TRY,243,2.0
SHOP0215,P00102,407.74,EUR,341,1.8
SHOP0492,P00187,898.8,EUR,183,4.9
SHOP0139,P00617,797.25,TRY,461,2.4
SHOP0392,P00340,700.88,EUR,41,0.2
SHOP0088,P00430,311.31,GBP,151,0.9
SHOP0378,P00284,551.29,EUR,138,1.6
SHOP0103,P00848,827.71,GBP,125,2.3
SHOP0240,P00529,184.79,EUR,340,4.1
SHOP0321,P00098,70.28,EUR,126,2.8
SHOP0223,P00617,875.17,GBP,52,1.9
SHOP0375,P00682,362.15,TRY,354,4.8
SHOP0409,P00889,48.38,TRY,250,4.0
SHOP0201,P00840,794.13,GBP,313,4.2
SHOP0087,P00016,338.26,EUR,469,1.7
SHOP0350,P00821,251.85,EUR,40,2.1
SHOP0441,P00062,707.47,TRY,301,0.2
SHOP0143,P00990,310.59,GBP,169,4.2
SHOP0108,P00324,108.82,USD,426,1.5
SHOP0333,P00425,300.24,GBP,90,2.8
SHOP0284,P00595,221.97,USD,293,3.8
SHOP0106,P00463,298.13,USD,234,2.5
SHOP0048,P00520,608.63,TRY,100,1.3
SHOP0190,P00307,130.56,USD,237,1.1
SHOP0107,P00875,69.19,EUR,158,1.7
SHOP0111,P00202,573.76,USD,380,5.0
SHOP0146,P00598,343.25,USD,390,1.1
SHOP0348,P00842,234.99,GBP,357,4.2
SHOP0161,P00510,904.02,TRY,342,3.6
SHOP0310,P00604,121.82,GBP,157,0.8
SHOP0400,P00879,844.83,USD,206,0.5
SHOP0289,P00076,367.36,USD,30,0.2
SHOP0106,P00477,270.18,EUR,228,1.4
SHOP0259,P00515,299.63,GBP,0,2.9
SHOP0143,P00902,187.1,USD,423,4.0
SHOP0182,P00695,736.02,TRY,176,4.9
SHOP0406,P00149,954.61,TRY,50,3.8
SHOP0448,P00012,933.39,EUR,414,4.0
SHOP0267,P00443,132.22,GBP,387,1.5
SHOP0024,P00000,83.76,USD,446,0.4
SHOP0259,P00021,805.69,TRY,193,0.4
SHOP0118,P00449,291.89,EUR,334,0.9
SHOP0189,P00003,331.81,TRY,109,2.9
SHOP0139,P00921,230.26,GBP,181,3.7
SHOP0442,P00138,825.28,GBP,400,2.8
SHOP0301,P00305,528.39,USD,131,3.8
SHOP0147,P00895,355.73,USD,464,4.3
SHOP0387,P00729,407.21,GBP,344,3.5
SHOP0305,P00870,179.8,USD,162,3.4
SHOP0450,P00065,321.73,GBP,286,3.0
SHOP0075,P00109,577.74,USD,341,2.1
SHOP0346,P00755,71.05,GBP,467,1.4
SHOP0323,P00662,629.08,EUR,167,2.9
SHOP0461,P00174,564.49,TRY,163,0.6
SHOP0118,P00944,361.93,GBP,430,1.4
SHOP0397,P00859,166.77,USD,276,3.3
SHOP0102,P00049,617.29,GBP,142,0.2
SHOP0339,P00957,849.0,TRY,322,1.6
SHOP0234,P00671,27.28,GBP,103,1.4
SHOP0336,P00949,533.19,TRY,188,2.2
SHOP0012,P00800,73.94,EUR,296,1.5
SHOP0341,P00954,254.97,USD,347,3.4
SHOP0196,P00183,796.8,USD,431,3.0
SHOP0369,P00577,668.49,TRY,222,1.9
SHOP0271,P00654,959.97,GBP,203,0.5
SHOP0145,P00272,677.59,TRY,44,0.7
SHOP0346,P00987,403.83,USD,477,4.1
SHOP0463,P00713,183.43,TRY,194,0.5
SHOP0193,P00564,311.55,TRY,301,3.7
SHOP0003,P00761,771.64,EUR,397,3.1
SHOP0443,P00333,89.14,USD,263,1.1
SHOP0339,P00062,943.69,GBP,207,3.7
SHOP0494,P00248,49.17,USD,121,3.1
SHOP0291,P00791,284.45,TRY,324,2.3
SHOP0118,P00981,830.83,EUR,276,4.4
SHOP0255,P00142,869.04,USD,266,1.0
SHOP0156,P00061,558.71,GBP,36,4.1
SHOP0381,P00558,321.82,GBP,166,2.6
SHOP0423,P00801,526.25,TRY,80,0.2
SHOP0010,P00454,348.21,TRY,121,0.3
SHOP0055,P00123,544.18,EUR,284,4.9
SHOP0210,P00627,59.77,EUR,62,1.8
SHOP0335,P00116,20.49,USD,448,1.7
SHOP0470,P00591,105.48,USD,457,0.3
SHOP0107,P00462,174.17,TRY,89,2.5
SHOP0349,P00956,700.16,USD,351,3.2
SHOP0339,P00196,975.68,GBP,374,4.8
SHOP0016,P00911,592.48,EUR,477,3.2
SHOP0089,P00012,767.95,EUR,307,1.8
SHOP0208,P00634,814.98,EUR,418,1.5
SHOP0351,P00572,435.63,TRY,282,3.6
SHOP0265,P00253,887.74,GBP,103,0.2
SHOP0134,P00012,357.59,TRY,199,3.1
SHOP0238,P00800,266.36,EUR,468,3.3
SHOP0142,P00033,214.89,GBP,263,3.3
SHOP0267,P00401,886.38,TRY,496,4.6
SHOP0165,P00603,630.52,EUR,440,3.5
SHOP0388,P00059,542.4,GBP,116,2.9
SHOP0234,P00638,30.25,USD,341,2.5
SHOP0355,P00688,825.82,GBP,382,4.5
SHOP0458,P00713,644.76,USD,99,0.4
SHOP0475,P00776,856.88,GBP,292,0.8
SHOP0199,P00281,641.51,USD,220,1.7
SHOP0448,P00131,269.63,GBP,281,4.2
SHOP0129,P00005,346.73,EUR,455,1.2
SHOP0079,P00805,385.38,EUR,367,3.8
SHOP0116,P00548,867.13,GBP,343,0.7
SHOP0456,P00549,379.62,EUR,334,2.0
SHOP0327,P00857,211.26,TRY,114,2.1
SHOP0115,P00329,985.39,GBP,399,4.9
SHOP0433,P00428,776.97,EUR,47,2.2
SHOP0491,P00182,190.71,EUR,185,5.0
SHOP0289,P00281,294.75,EUR,338,3.2
SHOP0172,P00161,322.28,TRY,11,1.6
SHOP0289,P00949,281.45,GBP,310,0.4
SHOP0396,P00862,232.73,TRY,53,2.3
SHOP0403,P00620,172.16,EUR,328,3.9
SHOP0361,P00391,17.88,EUR,241,2.0
SHOP0414,P00612,747.53,USD,339,3.3
SHOP0352,P00367,314.68,TRY,68,2.3
SHOP0053,P00694,167.41,TRY,6,3.9
SHOP0385,P00734,94.89,TRY,350,2.8
SHOP0158,P00634,672.58,GBP,57,3.4
SHOP0103,P00350,7.02,EUR,476,4.2
SHOP0251,P00404,531.36,TRY,415,0.9
SHOP0354,P00295,86.93,TRY,462,0.4
SHOP0399,P00826,116.52,GBP,312,4.6
SHOP0236,P00638,936.04,TRY,195,2.6
SHOP0421,P00915,254.6,USD,19,1.6
SHOP0474,P00498,343.09,GBP,113,4.5
SHOP0399,P00367,348.15,TRY,366,3.3
SHOP0431,P00901,156.14,TRY,157,3.0
SHOP0338,P00329,842.53,USD,78,0.6
SHOP0234,P00146,102.96,GBP,445,4.9
SHOP0071,P00223,461.28,TRY,325,1.7
SHOP0361,P00192,841.26,EUR,89,3.1
SHOP0371,P00950,483.08,USD,466,3.5
SHOP0354,P00393,83.17,USD,266,4.8
SHOP0262,P00188,100.37,EUR,241,2.4
SHOP0416,P00080,631.75,TRY,90,4.2
SHOP0254,P00949,13.28,TRY,211,4.9
SHOP0124,P00780,88.23,TRY,239,3.3
SHOP0360,P00454,850.74,TRY,9,0.7
SHOP0296,P00461,271.73,TRY,282,1.9
SHOP0068,P00191,617.61,TRY,303,1.6
SHOP0268,P00409,182.02,TRY,69,2.3
SHOP0470,P00806,891.47,EUR,450,2.5
SHOP0437,P00777,212.04,USD,289,5.0
SHOP0297,P00798,375.12,EUR,133,2.4
SHOP0025,P00104,395.98,GBP,42,1.7
SHOP0007,P00496,415.25,GBP,250,2.9
SHOP0286,P00728,919.88,EUR,262,2.9
SHOP0272,P00794,782.0,GBP,469,2.8
SHOP0020,P00722,174.64,TRY,439,0.4
SHOP0130,P00406,508.22,USD,250,0.3
SHOP0357,P00983,321.42,GBP,291,1.0
SHOP0058,P00803,371.56,USD,244,1.9
SHOP0429,P00480,620.27,GBP,25,0.1
SHOP0199,P00254,457.83,EUR,10,2.4
SHOP0391,P00394,920.12,EUR,124,1.7
SHOP0031,P00495,515.81,TRY,378,3.5
SHOP0151,P00743,98.15,EUR,337,4.6
SHOP0405,P00147,280.15,USD,270,2.1
SHOP0128,P00159,94.01,USD,38,4.8
SHOP0210,P00435,490.27,TRY,305,1.1
SHOP0148,P00996,805.61,EUR,304,2.8
SHOP0085,P00390,179.71,GBP,438,3.5
SHOP0431,P00043,323.46,EUR,291,4.0
SHOP0246,P00053,746.45,EUR,339,3.8
SHOP0369,P00772,762.66,GBP,423,0.5
SHOP0006,P00431,404.32,GBP,67,0.3
SHOP0368,P00192,523.91,USD,46,2.5
SHOP0367,P00306,508.17,USD,279,0.0
SHOP0426,P00150,16.4,TRY,373,0.6
SHOP0177,P00288,287.35,GBP,112,2.2
SHOP0069,P00419,449.73,GBP,166,4.9
SHOP0311,P00000,665.37,TRY,441,0.4
SHOP0129,P00617,743.46,USD,366,1.6
SHOP0401,P00912,261.35,GBP,166,3.8
SHOP0430,P00140,153.19,EUR,177,3.0
SHOP0133,P00516,130.12,TRY,11,1.9
SHOP0447,P00192,172.58,EUR,273,3.1
SHOP0214,P00773,360.96,EUR,287,3.6
SHOP0302,P00131,513.39,GBP,142,4.4
SHOP0496,P00103,383.86,EUR,243,1.9
SHOP0038,P00183,226.78,GBP,25,0.4
SHOP0118,P00550,999.81,TRY,293,1.4
SHOP0211,P00882,401.08,TRY,4,0.6
SHOP0362,P00406,773.18,EUR,117,4.8
SHOP0049,P00326,545.36,TRY,110,2.9
SHOP0347,P00721,322.0,GBP,420,0.1
SHOP0314,P00638,817.01,EUR,189,3.4
SHOP0049,P00393,560.57,USD,338,2.3
SHOP0406,P00713,769.98,GBP,169,3.6
SHOP0086,P00073,971.71,USD,170,3.7
SHOP0346,P00577,311.56,USD,73,4.7
SHOP0399,P00480,473.36,EUR,69,4.0
SHOP0118,P00638,228.86,TRY,5,3.0
SHOP0471,P00767,246.8,EUR,246,0.5
SHOP0459,P00217,39.6,USD,288,1.9
SHOP0188,P00267,196.36,GBP,381,2.0
SHOP0410,P00482,610.83,USD,177,1.0
SHOP0397,P00117,309.96,TRY,23,2.9
SHOP0391,P00900,618.82,TRY,323,0.9
SHOP0130,P00410,636.27,EUR,352,4.7
SHOP0188,P00339,422.9,EUR,315,3.1
SHOP0326,P00377,487.46,GBP,99,4.2
SHOP0227,P00564,191.23,EUR,235,4.5
SHOP0364,P00704,430.11,GBP,82,4.8
SHOP0293,P00896,602.5,EUR,392,4.2
SHOP0173,P00523,857.07,GBP,152,2.5
SHOP0242,P00818,107.65,TRY,142,2.9
SHOP0408,P00209,485.21,TRY,351,3.7
SHOP0286,P00160,135.7,GBP,457,0.7
SHOP0172,P00524,110.86,EUR,393,0.3
SHOP0375,P00667,913.7,USD,268,0.1
SHOP0431,P00115,902.74,TRY,212,4.4
SHOP0452,P00945,717.25,GBP,475,1.8
SHOP0047,P00215,155.98,GBP,118,1.9
SHOP0088,P00738,118.0,TRY,398,4.3
SHOP0141,P00266,37.41,USD,113,3.7
SHOP0058,P00206,966.68,GBP,392,1.7
SHOP0267,P00565,500.01,TRY,317,4.5
SHOP0178,P00032,803.14,EUR,128,1.9
SHOP0321,P00642,718.4,EUR,67,2.0
SHOP0125,P00095,577.42,GBP,198,2.8
SHOP0290,P00856,783.85,USD,163,4.3
SHOP0420,P00306,534.43,TRY,147,0.7
SHOP0153,P00922,209.73,GBP,345,3.8
SHOP0378,P00174,434.31,TRY,485,2.9
SHOP0323,P00003,602.94,TRY,16,3.4
SHOP0459,P00772,585.96,TRY,471,2.8
SHOP0399,P00393,817.53,TRY,424,2.0
SHOP0061,P00038,191.02,GBP,351,1.3
SHOP0063,P00102,974.61,USD,4,2.7
SHOP0043,P00035,670.32,TRY,214,1.7
SHOP0490,P00857,226.34,GBP,416,3.8
SHOP0182,P00758,238.41,EUR,261,1.7
SHOP0165,P00506,185.61,USD,419,0.6
SHOP0384,P00547,887.44,TRY,378,2.4
SHOP0015,P00221,362.82,GBP,276,0.8
SHOP0075,P00211,462.3,TRY,417,0.3
SHOP0123,P00321,490.83,TRY,282,1.8
SHOP0427,P00616,578.71,GBP,359,1.9
SHOP0162,P00568,959.82,GBP,472,1.6
SHOP0034,P00080,549.92,USD,145,3.9
SHOP0153,P00445,178.27,GBP,419,0.0
SHOP0398,P00179,898.74,USD,378,2.3
SHOP0029,P00664,903.54,USD,206,4.7
SHOP0136,P00134,907.0,USD,291,0.5
SHOP0284,P00836,187.81,EUR,178,3.4
SHOP0063,P00303,435.0,GBP,449,1.9
SHOP0390,P00843,959.96,TRY,147,4.4
SHOP0056,P00368,787.42,TRY,99,4.7
SHOP0363,P00734,267.76,EUR,497,2.5
SHOP0346,P00973,554.75,USD,225,0.2
SHOP0161,P00023,350.29,GBP,299,2.6
SHOP0418,P00648,11.89,TRY,377,4.5
SHOP0054,P00491,73.73,GBP,303,4.2
SHOP0255,P00062,580.84,GBP,478,1.9
SHOP0191,P00799,756.65,GBP,401,2.6
SHOP0256,P00411,426.39,EUR,471,4.4
SHOP0075,P00891,131.52,GBP,361,1.7
SHOP0365,P00818,227.3,GBP,412,0.7
SHOP0006,P00670,582.9,TRY,399,4.7
SHOP0293,P00095,192.25,EUR,491,1.4
SHOP0484,P00224,384.19,EUR,500,0.0
SHOP0495,P00301,557.58,TRY,9,1.1
SHOP0016,P00077,34.38,TRY,119,0.4
SHOP0275,P00085,372.27,EUR,438,1.6
SHOP0369,P00123,211.5,TRY,85,1.9
SHOP0071,P00563,692.99,GBP,106,1.4
SHOP0383,P00007,778.91,EUR,171,2.8
SHOP0493,P00087,184.38,GBP,196,3.5
SHOP0002,P00170,61.81,GBP,385,0.9
SHOP0243,P00076,727.99,EUR,5,1.1
SHOP0315,P00006,658.61,TRY,197,0.7
SHOP0364,P00335,698.17,TRY,36,1.8
SHOP0040,P00976,326.33,EUR,208,3.7
SHOP0454,P00396,343.79,EUR,121,2.1
SHOP0403,P00635,63.61,EUR,9,4.8
SHOP0402,P00809,160.28,TRY,9,0.4
SHOP0373,P00360,385.12,TRY,233,2.2
SHOP0207,P00820,482.52,TRY,243,3.4
SHOP0410,P00973,651.04,GBP,13,2.1
SHOP0417,P00555,958.48,GBP,107,0.1
SHOP0399,P00827,610.76,TRY,98,3.9
SHOP0306,P00668,647.26,GBP,239,0.5
SHOP0094,P00085,741.63,USD,81,4.5
SHOP0182,P00782,370.07,USD,296,4.4
SHOP0378,P00818,230.53,TRY,32,2.8
SHOP0313,P00020,610.1,EUR,312,2.3
SHOP0212,P00178,754.42,EUR,26,1.4
SHOP0376,P00210,595.83,EUR,424,2.4
SHOP0215,P00981,514.69,TRY,174,2.0
SHOP0270,P00067,100.95,TRY,114,3.1
SHOP0028,P00502,749.77,GBP,139,3.3
SHOP0102,P00347,655.9,USD,162,3.5
SHOP0111,P00803,507.67,USD,314,2.4
SHOP0227,P00345,982.96,GBP,250,4.7
SHOP0444,P00240,587.41,TRY,423,2.2
SHOP0410,P00189,439.62,TRY,53,3.6
SHOP0351,P00506,736.92,USD,359,4.5
SHOP0155,P00854,507.23,USD,229,2.2
SHOP0285,P00764,768.12,GBP,182,2.1
SHOP0347,P00372,729.26,EUR,402,1.1
SHOP0294,P00796,797.35,EUR,120,3.1
SHOP0231,P00936,770.98,EUR,212,4.6
SHOP0092,P00470,515.03,EUR,110,3.9
SHOP0176,P00173,247.08,TRY,197,0.9
SHOP0082,P00389,71.7,USD,466,3.4
SHOP0112,P00481,601.89,TRY,369,4.4
SHOP0363,P00221,369.49,TRY,414,1.7
SHOP0463,P00250,363.92,GBP,494,2.5
SHOP0409,P00258,995.14,USD,261,3.9
SHOP0088,P00435,303.63,USD,467,2.6
SHOP0311,P00647,71.71,EUR,355,4.8
SHOP0131,P00263,662.61,EUR,192,4.6
SHOP0091,P00088,929.15,TRY,284,0.5
SHOP0304,P00939,762.75,TRY,236,2.1
SHOP0427,P00777,837.17,EUR,428,1.7
SHOP0416,P00590,890.04,TRY,23,1.2
SHOP0284,P00932,783.95,GBP,87,1.6
SHOP0031,P00906,250.62,USD,0,3.3
SHOP0032,P00820,339.86,EUR,38,4.0
